"column_name","inferred_type","n_missing","pct_missing","n_unique","value_summary","construct","priority","construct_description"
"sdc_deal_no","character",0,0,8239,"1029034020 | 1184402020 | 1186486020","identifier_deal","CRITICAL","Deal unique identifier"
"date_announced","date",0,0,3821,"Range: [1999-08-09, 2022-12-28]","date_announcement","CRITICAL","Deal announcement date"
"date_effective","date",0,0,3627,"Range: [2005-01-01, 2022-12-30]","date_completion","CRITICAL","Deal completion date"
"number_of_days_between_date_announced_and_date_effective","numeric",0,0,534,"Range: [0.00, 5874.00]","date_announcement","CRITICAL","Deal announcement date"
"rank_date","date",0,0,3822,"Range: [1999-08-09, 2022-12-29]","metadata_rank","LOW","Ranking date for deal value"
"rank_value_including_net_debt_of_target_usd_millions","numeric",1459,17.7,5942,"Range: [0.00, 101569.46]","control_deal_value","HIGH","Deal value (control variable)"
"target_full_name","character",0,0,6816,"New Pride Corp | Charter Communications Inc | General Growth Properties Inc","identifier_target","CRITICAL","Target company name"
"target_macro_industry","character",0,0,13,"Financials | High Technology | Healthcare","control_industry","MEDIUM","Broad industry classification"
"target_mid_industry","character",0,0,82,"Banks | Oil & Gas | Software","control_industry","MEDIUM","Medium industry classification"
"target_nation","character",0,0,1,"United States","control_geography","HIGH","Target country (US filter)"
"acquiror_full_name","character",0,0,5115,"Creditors | Investor Group | United States Department of Treasury","identifier_acquirer","HIGH","Acquirer company name"
"acquiror_macro_industry","character",0,0,13,"Financials | High Technology | Healthcare","control_industry","MEDIUM","Broad industry classification"
"acquiror_mid_industry","character",0,0,85,"Other Financials | Banks | Alternative Financial Investments","control_industry","MEDIUM","Medium industry classification"
"acquiror_nation","character",0,0,67,"United States | Canada | United Kingdom","moderator_geography","MEDIUM","Acquirer country (cross-border)"
"target_financial_advisors_name","character",3119,37.9,1635,"Goldman Sachs & Co | Sandler O'Neill Partners | JP Morgan","identifier_target","CRITICAL","Target company name"
"acquiror_financial_advisors_name","character",4440,53.9,1351,"Goldman Sachs & Co | Keefe Bruyette & Woods Inc | JP Morgan","identifier_acquirer","HIGH","Acquirer company name"
"related_sdc_deal_number","character",7092,86.1,1144,"2142268116 | 2485567116 | 2941675116|2944250116","moderator_related_deal","LOW","Related deal identifier"
"date_withdrawn","character",8239,100,0,"","date_withdrawn","HIGH","Deal withdrawal date"
"deal_status","character",0,0,1,"Completed","outcome_completion","CRITICAL","Deal status (completed/withdrawn)"
"target_primary_ticker_symbol","character",63,0.8,6571,"900100 | CHTR | MGM","identifier_target","HIGH","Target ticker (for EDGAR matching)"
"target_6_digit_cusip","character",0,0,6807,"U65222 | 16117M | 94770V","identifier_target","MEDIUM","Target CUSIP"
"target_primary_sic","character",0,0,590,"National commercial banks | Prepackaged Software | Pharmaceutical preparations","control_industry","HIGH","Target SIC code (for FE)"
"target_public_status","character",0,0,1,"Public","control_public_status","HIGH","Public listing status"
"target_state","character",0,0,53,"California | New York | Texas","control_geography","MEDIUM","Target state"
"acquiror_primary_ticker_symbol","character",4208,51.1,2505,"ORCL | APO | PFE","identifier_target","HIGH","Target ticker (for EDGAR matching)"
"acquiror_ultimate_parent_name","character",0,0,4498,"Creditors | Investor Group | United States of America","identifier_acquirer","HIGH","Acquirer company name"
"acquiror_state","character",19,0.2,55,"Foreign | New York | California","moderator_geography","MEDIUM","Acquirer state"
"deal_value_usd_millions","numeric",1437,17.4,5882,"Range: [0.00, 86831.16]","control_deal_value","HIGH","Deal value (control variable)"
"percentage_of_shares_held_by_acquiror_6_months_prior_to_announcement","numeric",0,0,404,"Range: [0.00, 91.25]","date_announcement","CRITICAL","Deal announcement date"
"percentage_of_shares_acquired_in_transaction","numeric",0,0,2327,"Range: [0.00, 100.00]","control_payment","HIGH","Percentage of stock consideration"
"percentage_of_shares_owned_after_transaction","numeric",809,9.8,2187,"Range: [0.00, 100.00]","control_payment","HIGH","Percentage of stock consideration"
"acquisition_techniques","character",0,0,1058,"Not Applicable | Privately Negotiated Purchase | Stock Swap","moderator_deal","MEDIUM","Acquisition technique"
"percentage_of_cash","numeric",0,0,1026,"Range: [0.00, 778.26]","control_payment","HIGH","Percentage of cash consideration"
"percentage_of_stock","numeric",0,0,754,"Range: [0.00, 100.00]","control_payment","HIGH","Percentage of stock consideration"
"form_of_the_deal","character",0,0,9,"Merger | Acquisition Of Partial Interest | Acquisition Of Majority Interest","unmapped","LOW","Not automatically mapped"
"deal_type","character",61,0.7,47,"Disclosed Value | Stake Purchase | Undisclosed Value","control_deal_type","HIGH","Deal type (merger/acquisition)"
"consideration_price_per_share_usd","character",4052,49.2,3097,"10 | 3 | 1","outcome_premium_input","CRITICAL","Offer price (premium numerator)"
"share_price_paid_by_acquiror_for_target_shares_usd","numeric",2893,35.1,2662,"Range: [0.00, 775000.00]","outcome_premium_input","CRITICAL","Offer price (premium numerator)"
"target_share_price_1_day_prior_to_announcement_usd","numeric",856,10.4,3796,"Range: [0.00, 16575.00]","outcome_premium_input","CRITICAL","Target stock price (premium denominator)"
"target_share_price_1_week_prior_to_announcement_usd","numeric",894,10.9,3719,"Range: [0.00, 16800.00]","outcome_premium_input","CRITICAL","Target stock price (premium denominator)"
"target_share_price_4_weeks_prior_to_announcement_usd","numeric",915,11.1,3728,"Range: [0.00, 9000.00]","outcome_premium_input","CRITICAL","Target stock price (premium denominator)"
"premium_paid_1_day_prior_to_announcement","numeric",3219,39.1,3798,"Range: [-99.98, 186760.00]","date_announcement","CRITICAL","Deal announcement date"
"premium_paid_1_week_prior_to_announcement","numeric",3233,39.2,3793,"Range: [-99.98, 186760.00]","date_announcement","CRITICAL","Deal announcement date"
"premium_paid_4_weeks_prior_to_announcement","numeric",3241,39.3,3851,"Range: [-99.98, 186760.00]","date_announcement","CRITICAL","Deal announcement date"
"deal_attitude","character",0,0,5,"Friendly | No Applicable | Neutral","moderator_deal","MEDIUM","Deal attitude (hostile/friendly)"
"tender_offer_flag","character",0,0,2,"FALSE | TRUE","moderator_deal","MEDIUM","Tender offer indicator"
"competing_offer_flag","character",7539,91.5,13,"False | True | False|False","moderator_deal","MEDIUM","Competition indicator"
"cross_border_deal_flag","character",0,0,2,"FALSE | TRUE","moderator_geography","MEDIUM","Cross-border indicator"
